EB_T (K),EB_((m0-m)/(m0-mf))
303.3262,0
303.3279333,1.2441E-05
303.3645,1.62274E-06
303.4358,-2.21775E-05
303.5318667,-8.60053E-05
303.6424333,-0.000145506
303.7551333,-0.00020717
303.8736333,-0.000272621
303.9933,-0.00035538
304.1098667,-0.000420831
304.2441,-0.000469513
304.3874667,-0.000510623
304.5284,-0.000520359
304.6727667,-0.000520359
304.8136667,-0.000519277
304.9553333,-0.000512786
305.1095667,-0.000479791
305.2579333,-0.000440845
305.4098333,-0.000401358
305.5625,-0.000357544
305.7227,-0.000298584
305.8754333,-0.000238002
306.0288667,-0.000175797
306.1895,-0.000108183
306.3470667,-3.24548E-05
306.5066333,4.97641E-05
306.6726,0.000133065
306.8336333,0.000220152
307.0003667,0.000309944
307.1636333,0.000415422
307.3255667,0.000516032
307.4963,0.000619346
307.6575333,0.000724284
307.8143667,0.000837876
307.9814333,0.000950927
308.1444333,0.0010656
308.3160333,0.001180274
308.4821667,0.001303603
308.6460667,0.001426931
308.8163333,0.001550259
308.9831,0.001676292
309.1527667,0.001810439
309.3258333,0.001941881
309.5008667,0.002073323
309.673,0.002206388
309.8403667,0.002347566
310.0129667,0.002488745
310.1951,0.002629923
310.3629,0.002771643
310.5288667,0.002919853
310.6991667,0.003068064
310.8770333,0.003218979
311.0563667,0.003373139
311.2321333,0.003532168
311.4033333,0.003690656
311.5902667,0.003851848
311.7615667,0.004015204
311.9358,0.004187215
312.1102333,0.004359225
312.2905,0.004532318
312.4729,0.004707574
312.6451667,0.004891485
312.8200667,0.005073232
312.9936333,0.005256601
313.1617,0.005441053
313.3405,0.005633078
313.5243667,0.005824561
313.6903,0.006016586
313.8677667,0.006210774
314.0386,0.006414157
314.2202667,0.006617541
314.3920667,0.006823629
314.5782667,0.00703134
314.7508667,0.007249328
314.9264333,0.007465153
315.0966,0.007681519
315.2673333,0.007900589
315.4404667,0.008125068
315.6123,0.00835117
315.7863667,0.008577272
315.9597,0.008804456
316.1356,0.009036508
316.3055,0.00926856
316.4714,0.009500612
316.6494667,0.009733746
316.8170667,0.009969584
316.9864,0.010209209
317.1600333,0.010449916
317.3269667,0.010692245
317.4894,0.010938361
317.6643,0.011186641
317.8342333,0.011435461
318.0033667,0.011685363
318.1744,0.011940134
318.3352,0.012199232
318.511,0.012459411
318.678,0.012721754
318.8412667,0.012987884
319.0137333,0.013258341
319.1776,0.013526093
319.3459667,0.013796009
319.5124667,0.014069171
319.6777333,0.014344496
319.8439333,0.01461874
320.0099333,0.014895147
320.1755333,0.015173176
320.339,0.015456074
320.5133667,0.015738431
320.6798333,0.016022411
320.8425333,0.016306932
321.0027667,0.016596862
321.1686667,0.01688571
321.3326333,0.017174558
321.4883333,0.017467733
321.6547667,0.017763613
321.8176667,0.018060575
321.9824333,0.018358077
322.1479333,0.01865558
322.3113333,0.018960115
322.4719,0.019261945
322.6304667,0.019565938
322.7968,0.019871014
322.9575,0.020179876
323.1126333,0.020487115
323.2783333,0.020794895
323.4371333,0.021103216
323.5999333,0.021416946
323.7604,0.021730135
323.9290667,0.022042783
324.0856,0.022354349
324.2495,0.022671866
324.4152667,0.022989382
324.5828333,0.02330744
324.7382667,0.023625497
324.9021667,0.023948423
325.0559667,0.024270267
325.2212333,0.024593192
325.3771,0.024916659
325.5332,0.025240666
325.7027,0.025564133
325.8637667,0.025889763
326.0230667,0.026216475
326.1822667,0.026543187
326.3445333,0.026869899
326.5074,0.027198234
326.6609667,0.027528191
326.8244,0.027861935
326.9899333,0.028195138
327.148,0.028527259
327.2987667,0.028858839
327.4619,0.029196911
327.6274,0.029533359
327.7833,0.029870889
327.959,0.030207338
328.1120333,0.030546491
328.2728333,0.030886726
328.4351,0.031229124
328.5918333,0.0315699
328.7526333,0.03191338
328.9107667,0.032255238
329.0694,0.032597095
329.2365667,0.032940035
329.4022667,0.033285679
329.5642333,0.033631864
329.7217,0.03397913
329.8803,0.034325856
330.0432333,0.034676368
330.2086333,0.035025258
330.3614333,0.035372525
330.5243667,0.035719251
330.6834333,0.036067058
330.8497667,0.036412702
331.0043333,0.036758887
331.1644,0.037106695
331.3319667,0.037455584
331.4931333,0.037802851
331.6525,0.038150118
