EM_T (K),EM_((m0-m)/(m0-mf))
307.9519,0
303.2993,-5.351E-07
306.1201667,-2.40795E-05
304.3944667,-5.99312E-05
308.1365667,-0.000142336
303.3021333,-0.00021618
306.3010333,-0.00029484
304.566,-0.00037671
308.3243,-0.00048587
308.5107,-0.000568811
303.3382333,-0.000636233
306.4860333,-0.000694559
304.7215667,-0.000713823
306.6645667,-0.000734692
304.8927333,-0.000748604
308.6893333,-0.000757166
303.4341333,-0.000726665
308.8836333,-0.000712218
303.5501,-0.00069777
306.8582,-0.000681182
305.0578,-0.000653357
309.0635,-0.000624996
309.7957,-0.00059182
303.6728667,-0.000555433
307.0370667,-0.000500318
309.2496667,-0.000447878
305.2323333,-0.000394903
309.9829,-0.000341394
303.8046667,-0.000276111
305.4055667,-0.00021511
309.4226667,-0.000150363
307.2204333,-8.34755E-05
310.1681667,-9.09669E-06
310.3546,6.63523E-05
307.4080667,0.000145012
309.6082,0.000225812
305.5904667,0.00031999
303.9337,0.000407746
310.5381,0.000495502
307.5927333,0.000583794
310.7270333,0.00067369
304.0874333,0.000763587
305.7638333,0.0008583
310.9108333,0.000954618
304.2328667,0.001058427
305.9392,0.001162771
307.7669,0.001268721
311.0918333,0.001377346
311.2766333,0.001500419
311.4698667,0.001617071
311.6552,0.001732652
311.8377333,0.001850909
312.0243667,0.001974517
312.2058,0.00209652
312.3880333,0.002218523
312.5791667,0.002341596
312.7649667,0.002463599
312.9506667,0.002585066
313.1353667,0.002707069
313.3195667,0.002829072
313.5092,0.002951074
313.6920333,0.003081639
313.8832667,0.003214878
314.0599667,0.003349723
314.2410333,0.0034942
314.4275333,0.003638677
314.6038,0.003783154
314.7912,0.003928166
314.9727667,0.004079599
315.1504,0.004231032
315.3284667,0.004383001
315.5094333,0.004536574
315.6848333,0.004692288
315.8610667,0.004854959
316.0525667,0.005016559
316.2280667,0.005177089
316.4043333,0.005342969
316.5856667,0.005510456
316.7621667,0.005679012
316.9394333,0.005848103
317.1127667,0.006022011
317.2833333,0.006197523
317.4577,0.006373036
317.6343,0.006548549
317.8055,0.006727272
317.9873667,0.006907601
318.1524667,0.007087394
318.319,0.007267188
318.4960667,0.007446446
318.6677,0.007631055
318.836,0.007816735
319.0098,0.008001879
319.1868333,0.008185954
319.3534,0.008371098
319.5231,0.008553567
319.692,0.008736571
319.8613667,0.008918505
320.0311667,0.009102579
320.1975,0.009292004
320.3682,0.009486781
320.5417667,0.009683697
320.7056333,0.009889711
320.8697667,0.010089838
321.0387333,0.01028836
321.2030667,0.010486347
321.3683667,0.010681658
321.5363667,0.010879645
